home_MSOA,work_MSOA,commuter_count
E02003027,E02002988,1
E02003028,E02002988,2
E02003029,E02002988,1
E02003033,E02002988,1
E02003036,E02002988,2
E02003037,E02002988,1
E02003038,E02002988,1
E02003039,E02002988,2
E02003040,E02002988,2
E02003041,E02002988,2
E02003043,E02002988,1
E02003050,E02002988,1
E02003051,E02002988,1
E02003060,E02002988,1
E02006887,E02002988,1
E02003070,E02002988,1
E02003075,E02002988,1
E02003086,E02002988,1
E02003088,E02002988,1
E02003092,E02002988,1
E02003095,E02002988,1
E02003098,E02002988,1
E02003100,E02002988,1
E02003101,E02002988,1
E02003103,E02002988,2
E02003104,E02002988,2
E02003105,E02002988,3
E02003107,E02002988,2
E02003108,E02002988,1
E02003109,E02002988,2
E02003110,E02002988,1
E02003112,E02002988,2
E02003113,E02002988,8
E02003115,E02002988,1
E02003116,E02002988,1
E02003118,E02002988,3
E02003119,E02002988,4
E02003120,E02002988,1
E02003121,E02002988,2
E02002985,E02002989,2
E02002986,E02002989,3
E02002987,E02002989,2
E02002988,E02002989,8
E02002989,E02002989,89
E02002990,E02002989,13
E02002991,E02002989,17
E02002992,E02002989,35
E02002993,E02002989,20
E02002994,E02002989,9
E02002995,E02002989,22
E02002996,E02002989,7
E02002997,E02002989,26
E02002998,E02002989,15
E02002999,E02002989,27
E02003000,E02002989,15
E02003001,E02002989,8
E02003002,E02002989,12
E02003003,E02002989,20
E02003004,E02002989,4
E02003005,E02002989,2
E02003006,E02002989,13
E02003007,E02002989,10
E02003008,E02002989,5
E02003009,E02002989,2
E02003010,E02002989,8
E02003011,E02002989,3
E02003013,E02002989,1
E02003027,E02002989,1
E02003030,E02002989,3
E02003036,E02002989,2
E02003037,E02002989,1
E02003044,E02002989,1
E02003048,E02002989,1
E02003049,E02002989,2
E02003050,E02002989,1
E02003053,E02002989,1
E02006888,E02002989,1
E02003070,E02002989,1
E02003075,E02002989,2
E02003082,E02002989,1
E02003084,E02002989,1
E02003088,E02002989,1
E02003089,E02002989,1
E02003092,E02002989,1
E02003095,E02002989,1
E02003097,E02002989,1
E02003098,E02002989,1
E02003103,E02002989,1
E02003107,E02002989,1
E02003108,E02002989,1
E02003110,E02002989,7
E02003113,E02002989,10
E02003118,E02002989,5
E02003119,E02002989,3
E02003120,E02002989,1
E02003121,E02002989,2
E02002985,E02002990,1
E02002986,E02002990,2
E02002987,E02002990,5
E02002988,E02002990,67
E02002989,E02002990,12
E02002990,E02002990,74
E02002991,E02002990,44
E02002992,E02002990,9
E02002993,E02002990,18
E02002994,E02002990,49
E02002995,E02002990,17
E02002996,E02002990,22
E02002997,E02002990,15
E02002998,E02002990,21
E02002999,E02002990,21
E02003000,E02002990,10
E02003001,E02002990,11
E02003002,E02002990,13
E02003003,E02002990,19
E02003004,E02002990,6
E02003006,E02002990,23
E02003007,E02002990,11
E02003008,E02002990,7
E02003009,E02002990,9
E02003010,E02002990,8
E02003011,E02002990,1
E02003016,E02002990,1
E02003017,E02002990,3
E02003020,E02002990,1
E02003021,E02002990,1
E02003023,E02002990,1
E02003026,E02002990,1
E02003027,E02002990,3
E02003028,E02002990,2
E02003031,E02002990,1
E02003032,E02002990,1
E02003034,E02002990,5
E02003037,E02002990,1
E02003040,E02002990,1
E02003041,E02002990,1
E02003046,E02002990,1
E02003047,E02002990,4
E02003048,E02002990,1
E02003049,E02002990,1
E02003050,E02002990,2
E02003051,E02002990,2
E02003052,E02002990,1
E02003053,E02002990,1
E02003054,E02002990,1
E02003061,E02002990,1
E02003063,E02002990,1
E02003067,E02002990,1
E02003070,E02002990,1
E02003077,E02002990,1
E02003080,E02002990,2
E02003084,E02002990,1
E02006846,E02002990,1
E02003093,E02002990,1
E02003094,E02002990,1
E02003096,E02002990,2
E02003097,E02002990,1
E02003102,E02002990,2
E02003106,E02002990,2
E02003107,E02002990,1
E02003108,E02002990,1
E02003113,E02002990,12
E02003116,E02002990,2
E02003117,E02002990,1
E02003118,E02002990,1
E02003119,E02002990,2
E02003120,E02002990,1
E02003121,E02002990,3
E02002985,E02002991,115
E02002986,E02002991,114
E02002987,E02002991,115
E02002988,E02002991,525
E02002989,E02002991,409
E02002990,E02002991,715
E02002991,E02002991,1367
E02002992,E02002991,527
E02002993,E02002991,667
E02002994,E02002991,651
E02002995,E02002991,448
E02002996,E02002991,781
E02002997,E02002991,686
E02002998,E02002991,628
E02002999,E02002991,474
E02003000,E02002991,355
E02003001,E02002991,437
E02003002,E02002991,370
E02003003,E02002991,497
E02003004,E02002991,76
E02003005,E02002991,64
E02003006,E02002991,543
E02003007,E02002991,220
E02003008,E02002991,211
E02003009,E02002991,205
E02003010,E02002991,214
E02003011,E02002991,135
E02003012,E02002991,11
E02003013,E02002991,9
E02003014,E02002991,3
E02003015,E02002991,6
E02003016,E02002991,14
E02003017,E02002991,8
E02003018,E02002991,7
E02003019,E02002991,6
E02003020,E02002991,8
E02003021,E02002991,11
E02003022,E02002991,8
E02003023,E02002991,8
E02003024,E02002991,11
E02003025,E02002991,6
E02003026,E02002991,12
E02003027,E02002991,24
E02003028,E02002991,29
E02003029,E02002991,6
E02003030,E02002991,10
E02003031,E02002991,38
E02003032,E02002991,21
E02003033,E02002991,22
E02003034,E02002991,35
E02003036,E02002991,21
E02003037,E02002991,34
E02003038,E02002991,20
E02003039,E02002991,16
E02003040,E02002991,35
E02003041,E02002991,16
E02003043,E02002991,25
E02003044,E02002991,22
E02003045,E02002991,25
E02003046,E02002991,39
