,E02002985,E02002986,E02002987,E02002988,E02002989,E02002990,E02002991,E02002992,E02002993,E02002994,E02002995,E02002996,E02002997,E02002998,E02002999,E02003000,E02003001,E02003002,E02003003,E02003004,E02003005,E02003006,E02003007,E02003008,E02003009,E02003010,E02003011,E02003012,E02003013,E02003014,E02003015,E02003016,E02003017,E02003018,E02003019,E02003020,E02003021,E02003022,E02003023,E02003024,E02003025,E02003026,E02003027,E02003028,E02003029,E02003030,E02003031,E02003032,E02003033,E02003034,E02003036,E02003037,E02003038,E02003039,E02003040,E02003041,E02003043,E02003044,E02003045,E02003046,E02003047,E02003048,E02003049,E02003050,E02003051,E02003052,E02003053,E02003054,E02003055,E02003056,E02003057,E02003058,E02003059,E02003060,E02003061,E02003062,E02003063,E02003064,E02006887,E02006888,E02006889,E02006890,E02003065,E02003066,E02003067,E02003068,E02003069,E02003070,E02003071,E02003072,E02003073,E02003074,E02003075,E02003076,E02003077,E02003078,E02003079,E02003080,E02003081,E02003082,E02003084,E02003085,E02003086,E02003087,E02003088,E02003089,E02006845,E02006846,E02003090,E02003091,E02003092,E02003093,E02003094,E02003095,E02003096,E02003097,E02003098,E02003099,E02003100,E02003101,E02003102,E02003103,E02003104,E02003105,E02003106,E02003107,E02003108,E02003109,E02003110,E02003111,E02003112,E02003113,E02003114,E02003115,E02003116,E02003117,E02003118,E02003119,E02003120,E02003121
E02002995,4,14,17,11,22,17,448,221,144,24,178,214,51,36,18,26,54,30,19,1,2,35,9,6,8,11,7,0,0,1,0,0,1,0,2,0,1,0,0,2,2,1,2,0,2,0,1,3,0,4,5,0,0,0,1,1,21,0,0,2,1,0,8,6,0,1,1,4,1,7,1,1,2,2,1,0,1,3,20,1,6,0,1,3,1,1,0,0,1,0,0,0,1,2,4,0,0,1,0,0,1,2,0,1,2,1,0,0,1,0,0,0,2,0,1,1,1,0,5,1,1,0,0,0,9,3,5,0,0,0,0,5,0,1,1,2,6,1,0,3
E02002996,8,15,5,25,7,22,781,108,199,28,22,530,18,27,4,15,33,46,14,3,3,49,5,0,5,19,3,2,0,4,7,0,0,0,1,2,3,0,0,3,0,2,1,0,0,0,0,1,1,5,8,17,0,0,0,1,82,0,1,2,2,1,6,4,0,3,0,3,1,2,1,4,1,0,0,0,3,4,67,1,2,1,0,0,2,6,1,4,1,1,0,1,7,4,2,4,1,0,0,0,1,0,0,0,4,2,1,0,0,0,4,0,2,0,0,3,0,0,12,0,0,2,0,1,46,6,4,0,6,4,0,9,0,2,3,3,4,3,1,4
E02002997,4,15,9,11,26,15,686,167,184,24,70,285,71,66,10,12,35,34,12,5,4,48,12,8,9,22,10,0,2,1,3,0,2,0,3,2,0,1,0,2,0,6,0,1,0,0,2,1,2,4,6,5,0,2,0,3,59,0,0,3,2,0,4,2,0,0,0,2,0,7,0,4,0,2,1,0,2,1,44,1,6,1,0,0,0,1,0,0,1,1,0,0,1,3,3,0,0,0,0,0,1,0,0,0,3,1,1,0,1,1,4,1,3,0,0,2,3,1,9,1,0,0,0,0,39,9,5,1,3,1,0,9,2,1,2,7,2,5,1,3
E02002998,6,15,9,14,15,21,628,124,144,33,42,263,28,82,15,8,52,50,28,2,5,49,8,9,11,15,2,0,0,2,4,0,0,0,1,1,0,0,1,5,1,5,0,1,0,0,0,0,0,5,4,2,0,0,1,3,44,0,1,3,1,0,7,1,0,2,3,3,0,2,1,4,0,1,2,0,1,0,43,1,5,1,0,0,0,1,0,2,0,1,0,0,0,2,1,1,0,0,0,0,2,1,0,0,1,0,0,0,1,3,1,0,6,0,0,1,0,0,9,0,1,0,0,0,28,4,5,0,0,1,0,4,0,0,0,2,3,1,0,1
E02002999,11,9,16,10,27,21,474,194,134,28,83,257,73,58,78,18,54,54,33,8,2,33,5,14,8,15,7,0,0,1,3,0,0,0,1,0,0,0,0,1,6,8,0,5,0,0,1,1,2,6,8,4,0,0,0,1,31,0,2,6,2,1,6,5,0,4,1,5,0,6,0,2,2,1,0,0,0,3,35,0,3,0,0,1,1,0,0,1,2,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,1,0,2,3,0,9,0,0,0,0,0,51,1,2,0,2,0,0,9,2,0,0,2,13,3,1,3
E02003000,60,77,102,5,15,10,355,184,99,23,30,128,22,16,13,322,40,43,17,31,21,77,72,28,54,59,14,0,3,5,3,1,4,0,7,2,0,1,3,10,10,8,5,2,4,3,1,6,9,17,18,10,5,7,17,5,156,2,0,13,9,2,36,14,1,22,12,32,1,12,6,11,6,11,3,2,7,14,117,10,16,6,1,9,1,1,1,6,1,1,3,0,4,1,16,1,0,1,0,0,0,3,0,0,8,3,0,0,8,1,4,4,13,5,4,5,17,0,20,1,1,0,1,2,95,15,18,2,8,5,0,16,4,6,1,22,15,21,14,17
E02003001,5,11,6,14,8,11,437,138,129,25,36,256,26,36,9,12,101,60,22,4,2,33,11,11,8,10,7,2,1,0,0,0,2,0,4,1,0,1,0,4,2,1,0,0,0,1,0,2,1,7,7,4,0,0,0,6,68,0,0,6,3,1,4,2,0,3,0,2,0,1,3,3,3,1,0,0,4,1,46,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,1,0,1,0,5,1,0,8,0,0,0,0,0,66,2,5,1,3,2,0,2,1,0,0,2,2,2,3,0
E02003002,6,11,13,14,12,13,370,99,98,57,21,241,14,21,6,22,74,193,17,4,6,34,6,1,7,10,7,0,0,4,0,0,0,0,2,0,1,1,0,5,2,7,1,0,0,0,2,3,3,4,5,2,1,0,2,2,46,0,0,1,0,0,2,0,0,2,0,4,2,4,0,1,1,0,0,0,2,1,17,3,2,0,0,0,1,2,0,1,1,1,1,0,1,2,6,0,0,2,0,0,0,0,1,0,5,1,0,0,2,1,0,0,2,0,0,0,3,0,8,1,0,0,0,0,33,0,5,0,0,1,0,6,1,2,0,5,2,2,0,3
E02003003,13,8,7,19,20,19,497,194,157,43,48,269,37,41,14,31,127,80,97,4,2,41,13,20,19,20,20,1,0,3,1,0,2,0,2,1,0,1,0,4,3,4,3,2,0,0,0,3,0,4,10,0,1,2,2,3,42,0,0,6,2,2,6,7,0,1,2,6,0,2,1,1,2,0,0,0,0,2,25,6,6,1,2,1,1,0,0,3,0,0,0,1,0,1,0,0,0,2,0,1,1,0,1,0,3,0,0,0,1,1,1,1,5,0,1,5,3,0,8,0,0,0,2,1,30,2,6,0,3,0,0,4,1,1,0,3,2,0,3,3
E02003004,24,30,30,3,4,6,76,51,31,9,10,27,6,10,1,41,11,11,6,206,119,21,52,16,31,46,13,1,4,6,7,3,4,0,17,2,2,2,2,7,7,4,6,3,4,6,3,6,5,13,34,13,1,1,9,10,188,0,2,15,14,4,34,48,4,20,23,35,2,32,23,51,18,20,6,1,20,27,104,8,32,0,3,6,5,7,4,6,1,10,3,2,6,6,35,5,0,0,1,1,2,2,0,0,19,2,2,2,1,3,6,4,14,6,0,3,10,0,16,1,0,1,0,2,32,8,11,0,5,1,3,7,2,5,0,3,9,2,3,6
