E00073223,51.494670199999995,-2.6768384
E00073224,51.436218200000006,-2.6097688000000003
E00073225,51.440213400000005,-2.6024082
E00073226,51.4398286,-2.6054488
E00073227,51.4397762,-2.6089182
E00073228,51.439270799999996,-2.6061554
E00073229,51.435962800000006,-2.6186876000000003
E00073230,51.438757599999995,-2.6104955999999997
E00073231,51.4390174,-2.6123754
E00073232,51.4389138,-2.6088948
E00073233,51.43778719999999,-2.6161313999999996
E00073234,51.43839875,-2.60763625
E00073236,51.4377058,-2.613238
E00073237,51.4372564,-2.6072960000000003
E00073238,51.43748375,-2.609836
E00073239,51.4365176,-2.6062246
E00073240,51.4359316,-2.6004519999999998
E00073241,51.43683059999999,-2.6114363999999997
E00073242,51.43434824999999,-2.6053777499999997
E00073243,51.4354328,-2.6149338
E00073245,51.4326444,-2.6238736000000005
E00073246,51.434985000000005,-2.6117152
E00073247,51.4319566,-2.6192724
E00073248,51.434777200000006,-2.6098476
E00073249,51.429406400000005,-2.6291282
E00073250,51.432826999999996,-2.6113168
E00073251,51.43507219999999,-2.6067382
E00073252,51.4340284,-2.6038216
E00073253,51.4372298,-2.626817
E00073254,51.4337904,-2.6081054
E00073255,51.433718,-2.6011336
E00073256,51.43207600000001,-2.604374
E00073257,51.43155899999999,-2.6221202
E00073258,51.431513800000005,-2.6010786
E00073259,51.43175239999999,-2.6295554
E00073260,51.431642,-2.6079635
E00073261,51.429832,-2.6259200000000003
E00073262,51.4303566,-2.6037182
E00073263,51.4805968,-2.5802264
E00073264,51.4800628,-2.5866592000000006
E00073266,51.4840755,-2.5883552499999998
E00073267,51.4828844,-2.5961980000000002
E00073268,51.4826898,-2.5838044000000004
E00073269,51.481345,-2.5827042000000002
E00073270,51.4811636,-2.5861612
E00073271,51.4818124,-2.5899362
E00073272,51.482287,-2.5795188
E00073273,51.48067920000001,-2.5845792
E00073274,51.481367999999996,-2.5927561999999997
E00073276,51.479666800000004,-2.5895234
E00073171,51.4680026,-2.5779966
E00073328,51.42304800000001,-2.6148684
E00073277,51.4785385,-2.59109575
E00073329,51.42337619999999,-2.621477
E00073278,51.4793318,-2.5978416
E00073330,51.4208096,-2.6180724
E00073172,51.4669314,-2.5756772
E00073280,51.478802333333334,-2.5968363333333335
E00073331,51.4203358,-2.6290839999999998
E00073173,51.4681772,-2.5824670000000003
E00073281,51.479581599999996,-2.5843578000000003
E00073332,51.4207292,-2.6228127999999997
E00073174,51.4676788,-2.585098
E00073282,51.4794026,-2.5945530000000003
E00073283,51.4791736,-2.5921746000000003
E00073284,51.47736999999999,-2.5900428
E00073285,51.47857739999999,-2.5877375999999996
E00073286,51.477743,-2.5937318
E00073287,51.477107000000004,-2.596191
E00073288,51.475879799999994,-2.590963
E00073289,51.4773498,-2.5883724
E00073290,51.475585249999995,-2.58661525
E00073291,51.47471975,-2.5851755
E00073292,51.4868788,-2.5814500000000002
E00073293,51.4847622,-2.5822979999999998
E00073294,51.4857416,-2.5845287999999997
E00073295,51.484065599999994,-2.5948794
E00073296,51.483528,-2.590932
E00073297,51.4838292,-2.5846314
E00073298,51.4832218,-2.5870374
E00073299,51.4832998,-2.5813118
E00073300,51.48313075,-2.5898195
E00073301,51.4181914,-2.6201018
E00073302,51.4153542,-2.6243857999999998
E00073303,51.4164126,-2.6266886
