OA Code,Total Arrivals,Total Departures
E00073211,6722,3528
E00174262,6602,5127
E00073758,1011,3658
E00073699,1422,3390
E00073526,3110,4174
E00074349,1676,3270
E00174310,3073,2698
E00075153,1577,4800
E00073921,7549,7012
E00075774,13500,16245
E00073342,5704,6731
E00174323,2732,4956
E00074023,8092,12395
E00075339,4868,3654
E00073436,2729,3056
E00074000,1386,2672
E00174245,1637,3621
E00073214,2196,2587
E00075090,7176,3762
E00074303,1651,1966
E00074081,973,3470
E00073742,3077,3734
E00075692,3938,5268
E00073587,1423,4684
E00073500,1272,2307
E00075523,5624,4214
E00174297,2125,1414
E00173089,3819,1847
E00174312,32173,8208
E00073380,3086,4306
E00073385,1364,2193
E00174285,2140,1968
E00075310,3476,2747
E00073545,1001,3084
E00173041,10650,9104
E00074057,1505,1314
E00074025,3139,5753
E00174316,7511,5356
E00074192,1447,3936
E00073425,1710,1233
E00073510,1102,3477
E00073584,1791,2709
E00073446,2002,1122
E00073261,943,2046
E00073491,2098,1728
E00073481,1523,3193
E00174242,4622,794
E00073659,1497,2017
E00174050,3973,2830
E00073247,2118,2177
