OA_code,total_arrivals,total_departures
E00073818,2954,5253
E00075579,1302,4551
E00075284,3157,5152
E00073194,1610,3962
E00173041,6403,298
E00174242,2878,124
E00075790,557,1119
E00174274,8784,1917
E00073403,1895,6946
E00074367,810,2519
E00074002,4999,54
E00075805,2367,5376
E00073452,2348,5286
E00075481,1462,3361
E00075534,718,2725
E00174243,8138,192
E00073436,9534,865
E00074252,3334,9244
E00075090,4517,187
E00074210,1851,5101
E00075633,1480,4613
E00174218,13373,1637
E00074428,1311,6844
E00073921,6982,192
E00073957,970,3401
E00074171,1216,4828
E00075173,868,4271
E00073323,1317,3460
E00073543,3325,7086
E00073392,3783,1171
E00073754,1402,3508
E00075646,1041,3810
E00073297,1999,5867
E00173036,7050,586
E00075460,864,3905
E00073858,1893,4885
E00073659,3620,932
E00075674,1223,5584
E00174237,1932,5331
E00073526,9207,3411
E00174312,5497,89
E00174316,8855,436
E00073219,4748,226
E00073585,2491,6937
E00073307,1135,3244
E00075311,649,2348
E00073652,1618,6010
E00073681,681,2796
E00075659,6140,1472
E00075372,1383,4088
E00073609,1214,3790
E00174307,10790,634
E00073808,598,3221
E00075689,2903,1038
E00074269,587,3120
E00074114,1279,6542
E00073340,642,3190
E00074309,710,2017
E00075774,7645,473
E00073146,3496,6310
