OA_code,total_arrivals,total_departures
E00073234,3321,9752
E00074217,2580,6795
E00073802,1153,6087
E00074120,2439,7615
E00073403,1968,7433
E00073219,4748,226
E00073754,1401,3526
E00073957,998,3552
E00073452,2398,5700
E00075293,1247,3654
E00174245,7770,1752
E00073600,1233,4183
E00073543,3306,7042
E00174307,10790,634
E00075311,1559,2655
E00174243,8138,192
E00073283,2231,8612
E00075460,917,4058
E00075506,1748,5742
E00075587,2429,6222
E00073526,9446,3612
E00174312,5497,89
E00074329,2496,4583
E00074428,1656,7214
E00075534,1029,2804
E00074002,4999,54
E00073389,7485,2018
E00073336,2336,5122
E00174218,14015,1766
E00075633,1483,5246
E00073194,1610,3962
E00073868,2928,6489
E00075790,557,1119
E00075674,2600,6100
E00073436,9534,865
E00073652,1712,6344
E00073417,9281,422
E00174289,3265,7919
E00073921,6982,192
E00174237,2237,6767
E00075090,4517,187
E00174316,8855,436
E00173036,7050,586
E00075173,1173,4407
E00074367,855,3043
E00075659,6140,1472
E00074178,3051,7381
E00075388,2729,5739
E00075774,7645,473
E00073562,1998,5692
