OA Code,Total Arrivals,Total Departures
E00073211,6852,3720
E00174262,7061,6499
E00074104,1475,4464
E00073699,1422,3390
E00073526,3113,4289
E00074349,1676,3270
E00174310,3092,2926
E00073425,5142,5677
E00073921,7610,7639
E00075774,14771,16819
E00073342,5985,8330
E00174323,2791,5321
E00074023,8137,13027
E00073436,2804,3217
E00074000,1409,2808
E00174245,2803,4762
E00073214,2247,2767
E00075090,7657,3913
E00074081,1000,3562
E00073742,4307,5745
E00075692,3992,5291
E00073587,1452,4951
E00073500,1344,2399
E00075523,6119,5315
E00174297,2255,1609
E00173089,4150,1966
E00174312,33801,9517
E00073380,3239,5036
E00073385,2132,4188
E00174285,2513,2060
E00075310,3625,2996
E00173041,10734,9707
E00074025,3527,6384
E00174316,9581,6004
E00074057,2898,4301
E00073510,1134,3589
E00073584,1791,2709
E00073491,2733,2821
E00174242,4760,896
E00174050,4401,3651
